run_name,preprocessors,chunk_size,overlap,top_k,top_n,reranking_threshold,num_chunks,context_recall,faithfulness,answer_relevancy,answer_correctness,phase
docling_only,DoclingMarkdownProcessor,1,0,9,3,0.1,878,0.8333333333333334,0.6142857142857142,0.5744319004799141,0.454373335806331,1
gemini_only,GeminiMarkdownProcessor,1,0,9,3,0.1,261,0.7777777777777778,0.6666666666666666,0.6988189004200156,0.48516595042642924,1
gemini_only_direct_llm,GeminiMarkdownProcessor+DirectLLMProcessor,1,0,9,3,0.1,68,0.7,0.8111111111111111,0.5810341495496638,0.5310595101528606,2
paper_llm,PaperLLMProcessor,1,0,9,3,0.1,924,0.5333333333333333,0.7866666666666667,0.6127832040269083,0.4386380661719159,2
