run_name,preprocessing,chunker,query_processor,chunk_size,overlap,top_k,top_n,reranking_threshold,context_recall,faithfulness,answer_relevancy,answer_correctness,negative_negative_rejection
markdown__paragraph__hyde,markdown,paragraph,HyDEQueryProcessor,2,0,18,6,0.0,0.8561643835616438,0.6828984561861274,0.6581721130816589,0.5531511603811698,0.7857142857142857
markdown__character__noprocessing,markdown,character,NoProcessingProcessor,1500,0,9,3,0.0,0.7746575342465754,0.6724396607958252,0.6890014360660704,0.5151007780590606,0.8571428571428571
markdown__wholetable__cot,markdown,wholetable,CoTQueryProcessor,,,45,15,0.05,0.9018264840182648,0.6633013105615845,0.6360530008880889,0.5555210008245628,0.7857142857142857
markdown__splittable__noprocessing,markdown,splittable,NoProcessingProcessor,,,111,37,0.1,0.7488584474885843,0.6866873233311589,0.688093409627806,0.5152434509175001,0.7142857142857143
direct__paragraph__cot,direct,paragraph,CoTQueryProcessor,1,0,9,3,0.0,0.8618721461187214,0.7368558382257011,0.6558057077816751,0.5334639753834702,0.7857142857142857
direct__dynamic__noprocessing,direct,dynamic,NoProcessingProcessor,150,15,18,6,0.05,0.8607305936073059,0.6888127853881278,0.6274929061618931,0.5435534806208986,0.9285714285714286
direct__character__cot,direct,character,CoTQueryProcessor,500,50,36,12,0.0,0.839041095890411,0.7397260273972602,0.6660284070560216,0.577437957960096,0.6428571428571429
direct__llmchunker__noprocessing,direct,llmchunker,NoProcessingProcessor,,,3,1,0.05,0.7447488584474886,0.6711187214611871,0.5975625072096868,0.5174956017522574,0.8571428571428571
direct__maxmin__cot,direct,maxmin,CoTQueryProcessor,,,57,19,0.05,0.8294520547945206,0.7373287671232878,0.7105188044853248,0.5701513800933236,0.8571428571428571
